pasar,komoditas,satuan,harga,tanggal_lengkap
Sepinggan,Cabe/Lombok Keriting,kg,97000,4/17/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/21/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/22/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/23/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/28/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/29/2025
Sepinggan,Cabe/Lombok Keriting,kg,67500,4/30/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,5/2/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,5/3/2025
Sepinggan,Cabe/Lombok Keriting,kg,72500,5/7/2025
Sepinggan,Cabe/Lombok Keriting,kg,72500,5/8/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/9/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/14/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/15/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/16/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/19/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/20/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/21/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/22/2025
Sepinggan,Cabe/Lombok Keriting,kg,75000,5/23/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,5/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,5/27/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,5/28/2025
Sepinggan,Cabe/Lombok Keriting,kg,63000,6/1/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/4/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/5/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/10/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/12/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/13/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/16/2025
Sepinggan,Cabe/Lombok Keriting,kg,62500,6/17/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/18/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/19/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/20/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/23/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,6/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,63000,6/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,63000,6/26/2025
Sepinggan,Cabe/Lombok Keriting,kg,63000,6/30/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/1/2025
Sepinggan,Cabe/Lombok Keriting,kg,63000,7/2/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/3/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/4/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/4/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/5/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/7/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/8/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/9/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/10/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/11/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/14/2025
Sepinggan,Cabe/Lombok Keriting,kg,60000,7/15/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/16/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/17/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/18/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/21/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/22/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/23/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/24/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/25/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/28/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/29/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/30/2025
Sepinggan,Cabe/Lombok Keriting,kg,65000,7/31/2025
Sepinggan,Cabe/Lombok Keriting,kg,57000,8/1/2025
Sepinggan,Cabe/Lombok Keriting,kg,53000,8/2/2025
